h,alpha,aic
6,0.0,6.859176804948726
6,0.02564102564102564,7.124592266804147
6,0.05128205128205128,7.23732783947786
6,0.07692307692307693,7.315650669471664
6,0.10256410256410256,7.382300398892314
6,0.1282051282051282,7.434713900591156
6,0.15384615384615385,7.478861382162221
6,0.1794871794871795,7.520734642480732
6,0.20512820512820512,7.554973577371717
6,0.23076923076923075,7.585968884056194
6,0.2564102564102564,7.614393178436735
6,0.28205128205128205,7.643258685292202
6,0.3076923076923077,7.667221331210442
6,0.3333333333333333,7.688573829010879
6,0.358974358974359,7.7111415545231745
6,0.3846153846153846,7.7294624482528445
6,0.41025641025641024,7.750761199449701
6,0.4358974358974359,7.768047161793517
6,0.4615384615384615,7.783608975203179
6,0.48717948717948717,7.8014529822757135
6,0.5128205128205128,7.8159443259107535
6,0.5384615384615384,7.829760022653605
6,0.5641025641025641,7.843667929279542
6,0.5897435897435898,7.8593528494614935
6,0.6153846153846154,7.871666681457068
6,0.641025641025641,7.882842658908708
6,0.6666666666666666,7.895928011443996
6,0.6923076923076923,7.906214889338615
6,0.717948717948718,7.919634717062672
6,0.7435897435897436,7.930065162908747
6,0.7692307692307692,7.939391237263119
6,0.7948717948717948,7.951247300742098
6,0.8205128205128205,7.960412532116404
6,0.8461538461538461,7.969305813669064
6,0.8717948717948718,7.9787289195430136
6,0.8974358974358974,7.990026083819604
6,0.923076923076923,7.998260591133315
6,0.9487179487179487,8.005734013988606
6,0.9743589743589743,8.015133392740278
6,1.0,8.022331119370142
7,0.0,7.914409632260088
7,0.02564102564102564,7.9316150945524
7,0.05128205128205128,7.954433895685884
7,0.07692307692307693,7.976842962398702
7,0.10256410256410256,8.001482150416898
7,0.1282051282051282,8.020851523963255
7,0.15384615384615385,8.039550854429141
7,0.1794871794871795,8.056189137070609
7,0.20512820512820512,8.073843278279039
7,0.23076923076923075,8.089129409747901
7,0.2564102564102564,8.10398549662671
7,0.28205128205128205,8.116142699523381
7,0.3076923076923077,8.12898486878937
7,0.3333333333333333,8.141427997569316
7,0.358974358974359,8.15355600698151
7,0.3846153846153846,8.16364263852123
7,0.41025641025641024,8.175809163783475
7,0.4358974358974359,8.184091958343354
7,0.4615384615384615,8.192976990472518
7,0.48717948717948717,8.202599163279235
7,0.5128205128205128,8.212471717041964
7,0.5384615384615384,8.221180267004618
7,0.5641025641025641,8.230255921950981
7,0.5897435897435898,8.237302435227447
7,0.6153846153846154,8.244908176882213
7,0.641025641025641,8.252796238851516
7,0.6666666666666666,8.261184122502087
7,0.6923076923076923,8.267374423077198
7,0.717948717948718,8.276047171346349
7,0.7435897435897436,8.281239891244232
7,0.7692307692307692,8.287319022450845
7,0.7948717948717948,8.294003274908821
7,0.8205128205128205,8.301267869465244
7,0.8461538461538461,8.307543579250972
7,0.8717948717948718,8.314453532887699
7,0.8974358974358974,8.319503693968972
7,0.923076923076923,8.324843568492245
7,0.9487179487179487,8.330791511700948
7,0.9743589743589743,8.337582443599661
7,1.0,8.341941243099404
8,0.0,8.348343241102032
8,0.02564102564102564,8.355131616607023
8,0.05128205128205128,8.365704550889388
8,0.07692307692307693,8.37462391801683
8,0.10256410256410256,8.38218986302171
8,0.1282051282051282,8.390059101611413
8,0.15384615384615385,8.398882046311376
8,0.1794871794871795,8.406869318863686
8,0.20512820512820512,8.415857205186809
8,0.23076923076923075,8.42032621950648
8,0.2564102564102564,8.42890440983876
8,0.28205128205128205,8.43653595380212
8,0.3076923076923077,8.442148300463623
8,0.3333333333333333,8.450244024850464
8,0.358974358974359,8.45697989657551
8,0.3846153846153846,8.46039896085659
8,0.41025641025641024,8.46788141654693
8,0.4358974358974359,8.472817408499793
8,0.4615384615384615,8.479522690049045
8,0.48717948717948717,8.484939296659487
8,0.5128205128205128,8.49192029380695
8,0.5384615384615384,8.494447793761287
8,0.5641025641025641,8.50096462563263
8,0.5897435897435898,8.506470553728205
8,0.6153846153846154,8.510713980684574
8,0.641025641025641,8.516871915061614
8,0.6666666666666666,8.522201539229474
8,0.6923076923076923,8.52425453119171
8,0.717948717948718,8.530390062885576
8,0.7435897435897436,8.533872916374635
8,0.7692307692307692,8.539526803822659
8,0.7948717948717948,8.543601444314962
8,0.8205128205128205,8.549533899295822
8,0.8461538461538461,8.551068939799
8,0.8717948717948718,8.556419501006058
8,0.8974358974358974,8.560652055501142
8,0.923076923076923,8.5642351674427
8,0.9487179487179487,8.569165379830585
8,0.9743589743589743,8.573722540094638
8,1.0,8.574995475143668
9,0.0,8.570190330399525
9,0.02564102564102564,8.576027683485423
9,0.05128205128205128,8.580920047695066
9,0.07692307692307693,8.58837295345366
9,0.10256410256410256,8.594158191631195
9,0.1282051282051282,8.597921306182924
9,0.15384615384615385,8.603200076374113
9,0.1794871794871795,8.610008036466324
9,0.20512820512820512,8.614561938836365
9,0.23076923076923075,8.618337419104611
9,0.2564102564102564,8.623618258211255
9,0.28205128205128205,8.626761360909267
9,0.3076923076923077,8.630990880493657
9,0.3333333333333333,8.63660998278394
9,0.358974358974359,8.640504949183548
9,0.3846153846153846,8.64630896474327
9,0.41025641025641024,8.650674880469357
9,0.4358974358974359,8.652874209356074
9,0.4615384615384615,8.657331382356547
9,0.48717948717948717,8.662901318941211
9,0.5128205128205128,8.666111551793476
9,0.5384615384615384,8.669118547456634
9,0.5641025641025641,8.673517741168213
9,0.5897435897435898,8.67577216243994
9,0.6153846153846154,8.679079395576505
9,0.641025641025641,8.68380252608098
9,0.6666666666666666,8.687153346969856
9,0.6923076923076923,8.691983756674396
9,0.717948717948718,8.695645361345633
9,0.7435897435897436,8.69689800325186
9,0.7692307692307692,8.700804880346164
9,0.7948717948717948,8.705601910690145
9,0.8205128205128205,8.707974886302479
9,0.8461538461538461,8.710512472924867
9,0.8717948717948718,8.714304137715576
9,0.8974358974358974,8.715940752776039
9,0.923076923076923,8.718661530228323
9,0.9487179487179487,8.722777745897295
9,0.9743589743589743,8.725751320270879
9,1.0,8.72990557665364
10,0.0,8.732435859792128
10,0.02564102564102564,8.733149447898434
10,0.05128205128205128,8.739389364597296
10,0.07692307692307693,8.742161322314171
10,0.10256410256410256,8.74802698656473
10,0.1282051282051282,8.752960998088588
10,0.15384615384615385,8.758241770593383
10,0.1794871794871795,8.761344431979085
10,0.20512820512820512,8.764176675489539
10,0.23076923076923075,8.768422781627066
10,0.2564102564102564,8.771953672179688
10,0.28205128205128205,8.777096316562842
10,0.3076923076923077,8.779548275766475
10,0.3333333333333333,8.782959769193914
10,0.358974358974359,8.788417951785565
10,0.3846153846153846,8.789601061395553
10,0.41025641025641024,8.79282954569988
10,0.4358974358974359,8.796521732808612
10,0.4615384615384615,8.799476886960404
10,0.48717948717948717,8.802645360468134
10,0.5128205128205128,8.804968631993024
10,0.5384615384615384,8.80846208136547
10,0.5641025641025641,8.81082596020911
10,0.5897435897435898,8.81526706045831
10,0.6153846153846154,8.816932044580462
10,0.641025641025641,8.819641139191829
